name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
lp__,-4.4,0.085,3.0,-9.7,-4.2,-0.15,1200.0,120.0,1.0
sigma,-0.2,0.0028,0.26,-0.63,-0.2,0.23,8900.0,850.0,1.0
a[1],0.061,0.0007,0.066,-0.05,0.062,0.17,9004.0,864.0,1.0
a[2],0.015,0.00071,0.067,-0.095,0.015,0.13,8830.0,848.0,1.0
a[3],-0.038,0.00073,0.068,-0.15,-0.039,0.077,8692.0,834.0,1.0
a[4],0.014,0.00071,0.067,-0.096,0.014,0.12,8952.0,859.0,1.0
b[1],-0.055,0.00069,0.067,-0.17,-0.056,0.054,9540.0,916.0,1.0
b[2],0.021,0.00069,0.066,-0.09,0.021,0.13,9209.0,884.0,1.0
b[3],-0.066,0.00066,0.067,-0.17,-0.066,0.048,10499.0,1008.0,1.0
b[4],-0.014,0.00068,0.067,-0.12,-0.013,0.096,9750.0,936.0,1.0
sigma_bkg,-0.27,0.0,0.25,-0.68,-0.27,0.15,8008.7,768.88,1.0
a_bkg[1],0.023,0.00064,0.064,-0.083,0.024,0.13,9924.0,953.0,1.0
a_bkg[2],-0.024,0.00073,0.066,-0.13,-0.025,0.085,8067.0,775.0,1.0
a_bkg[3],0.061,0.00066,0.066,-0.049,0.062,0.17,10067.0,967.0,1.0
a_bkg[4],-0.074,0.00073,0.064,-0.18,-0.073,0.028,7727.0,742.0,1.0
b_bkg[1],-0.096,0.00066,0.065,-0.21,-0.095,0.0092,9961.0,956.0,1.0
b_bkg[2],-0.054,0.00069,0.065,-0.16,-0.054,0.053,8883.0,853.0,1.0
b_bkg[3],-0.02,0.00067,0.064,-0.12,-0.02,0.085,9244.0,888.0,1.0
b_bkg[4],0.026,0.0007,0.067,-0.088,0.025,0.14,8973.0,861.0,1.0
